SAMPLES,Baya.C,Baya.C.GEBV,Baya.H,Baya.H.GEBV,Baya.L,Baya.L.GEBV,PriBrote.C,PriBrote.C.GEBV,PriBrote.H,PriBrote.H.GEBV,PriBrote.L,PriBrote.L.GEBV,PriFlor.C,PriFlor.C.GEBV,PriFlor.H,PriFlor.H.GEBV,PriFlor.L,PriFlor.L.GEBV,PriTuber.C,PriTuber.C.GEBV,PriTuber.H,PriTuber.H.GEBV,PriTuber.L,PriTuber.L.GEBV,Pulpa.C,Pulpa.C.GEBV,Pulpa.H,Pulpa.H.GEBV,Pulpa.L,Pulpa.L.GEBV,SecBrote.C,SecBrote.C.GEBV,SecBrote.H,SecBrote.H.GEBV,SecBrote.L,SecBrote.L.GEBV,SecTuber.C,SecTuber.C.GEBV,SecTuber.H,SecTuber.H.GEBV,SecTuber.L,SecTuber.L.GEBV,Tallo.C,Tallo.C.GEBV,Tallo.H,Tallo.H.GEBV,Tallo.L,Tallo.L.GEBV
15061767,46.013,59,118.639,106,61.99231,69,20.065,20,306.536,307,28.937,26,44.667,35,305.765,303,52.57,65,16.711,11,240.535,328,40.06,30,17.121,26,91.929,94,86.496,84,5.622,4,255.997,41,93.845,94,32.236,25,122.054,28,65.9,45,43.954,44,114.835,117,53.898,54
15062130,46.013,59,113.847,106,63.51852,69,47.323,47,322.621,352,31.263,36,41.094,41,315.473,320,57.889,48,33.031,35,120.142,16,49.248,40,4.818,6,81.729,71,90.947,92,7.643,7,264.6,318,92.979,96,30.77,35,117.71,83,68.575,75,39.115,44,160.244,117,50.696,54
15061637,44.263,59,114.892,106,60.83301,69,26.608,20,309.918,307,28.683,26,43.597,58,311.77,322,56.764,43,34.709,35,85.845,83,52.514,75,17.787,18,88.074,90,84.751,84,6.254,7,184.816,318,94.879,96,35.317,33,85.535,10,60.427,43,41.7,38,117.254,132,53.739,53
15061337,46.013,44,116.613,117,58.82808,54,24.818,26,312.107,314,25.991,33,48.961,57,320.657,317,42.275,49,25.154,28,87.093,345,37.363,30,16.591,18,88.079,90,85.951,84,6.001,7,188.877,318,94.713,96,35,35,123.063,22,71.143,80,34.88,44,168.323,117,47.532,54
15062104,46.013,45,119.306,128,59.89604,58,24.301,20,309.148,307,33.458,26,48.542,58,318.222,312,41.21,33,10.974,36,272.817,83,30.224,79,21.382,18,85.259,90,84.489,84,6.035,4,146.55,41,94.607,94,37.804,32,118.606,5,76.671,42,34.263,44,189.401,117,46.065,54
15061579,46.013,45,115.208,115,60.53419,72,35.816,26,309.068,314,36.706,33,51.857,58,320.973,322,45.424,43,35.775,16,142.588,3,57.118,30,10.517,6,80.884,71,86.511,92,7.192,4,179.665,41,93.999,94,28.738,42,165.147,96,46.19,80,26.478,16,250.138,359,39.453,28
15061932,46.013,45,115.909,128,58.98176,58,43.66,45,322.196,330,43.4,52,46.276,46,320.39,323,54.988,57,41.133,42,36.211,96,65.72,80,8.833,6,75.101,71,88.244,92,6.715,4,200.212,41,93.101,94,35.526,28,60.421,84,54.788,41,43.057,44,112.741,117,53.909,54
15061603,44.263,48,116.519,118,58.56644,66,23.874,28,312.602,306,27.296,27,52.136,39,320.716,319,44.773,42,16.928,8,192.522,313,33.693,29,6.881,3,74.865,32,90.296,92,4.859,7,162.619,318,96.778,96,37.132,42,98.891,96,76.584,80,20.866,44,296.127,117,34.068,54
15060025,44.263,48,114.892,118,60.80157,66,27.814,20,309.918,307,28.541,26,43.597,45,311.77,305,56.764,52,36.876,47,76.016,85,52.514,76,17.787,5,88.074,52,84.751,94,6.254,7,184.816,318,94.879,95,35.317,19,81.942,5,60.427,27,41.7,44,117.254,117,53.739,54
15061704,44.263,75,114.892,107,60.81681,76,27.814,28,309.918,306,28.782,27,43.597,37,311.77,293,56.764,61,36.876,19,76.016,5,52.514,27,17.787,6,88.074,71,84.751,92,6.254,4,184.816,41,94.879,94,35.633,47,81.942,85,60.427,76,41.7,44,117.254,117,53.739,54
15061334,44.263,48,116.061,118,60.40819,66,30.695,49,313.125,320,39.391,54,48.741,57,322.409,327,51.886,45,26.568,32,158.45,14,47.075,38,10.992,26,84.455,94,87.154,84,8.397,7,300.004,318,93.671,96,36.017,47,104.816,85,63.829,76,35.33,44,150.94,117,51.118,54
15061631,42.448,48,116.179,118,58.6286,66,24.737,28,316.058,306,27.295,27,48.984,58,318.169,322,45.736,43,19.126,11,237.562,318,32.788,28,33.089,6,92.845,71,83.084,92,5.404,4,288.741,41,93.49,94,37.318,47,83.271,85,73.83,76,25.315,16,245.94,359,38.504,28
15060964,42.513,38,115.547,132,58.21868,53,36.19,40,311.933,309,34.081,43,53.323,39,320.093,321,39.231,36,29.888,16,63.819,359,46.332,28,9.141,32,84.969,84,87.034,81,6.606,7,218.604,318,98.107,96,38.061,47,145.615,85,71.849,76,34.343,44,182.699,117,46.863,54
