qqPrefix,HCL_component,Models,Traits,Heritability
CBaya,C,BA,CBaya.C,0.23419528624754
CBaya,C,BA,CBaya.C,0.199862376910542
CBaya,C,BA,CBaya.C,0.233436810813203
CBaya,C,BA,CBaya.C,0.212810889976385
CBaya,C,BA,CBaya.C,0.141827555770749
CBaya,C,BA,CBaya.C,0.180885047217786
CBaya,C,BA,CBaya.C,0.170995338566204
CBaya,C,BA,CBaya.C,0.14112948858838
CBaya,C,BA,CBaya.C,0.133814097350356
CBaya,C,BA,CBaya.C,0.120740249799634
CBaya,C,BA,CBaya.C,0.150539839244038
CBaya,C,BA,CBaya.C,0.150050328445734
CBaya,C,BA,CBaya.C,0.145492896647158
CBaya,C,BA,CBaya.C,0.19981704812668
CBaya,C,BA,CBaya.C,0.165580622781346
CBaya,C,BA,CBaya.C,0.179675181943161
CBaya,C,BA,CBaya.C,0.166215117887283
CBaya,C,BA,CBaya.C,0.181608983011166
CBaya,C,BA,CBaya.C,0.153544644305479
CBaya,C,BA,CBaya.C,0.136757896376942
CBaya,C,BA,CBaya.C,0.138971641017867
CBaya,C,BA,CBaya.C,0.17067551404575
CBaya,C,BA,CBaya.C,0.161803564806069
CBaya,C,BA,CBaya.C,0.188750261275906
CBaya,C,BA,CBaya.C,0.196181275809591
CBaya,C,BA,CBaya.C,0.176734775319257
CBaya,C,BA,CBaya.C,0.214141349352544
CBaya,C,BA,CBaya.C,0.181166509114096
CBaya,C,BA,CBaya.C,0.215628007111435
CBaya,C,BA,CBaya.C,0.166550982491438
CBaya,C,BA,CBaya.C,0.158152280018074
CBaya,C,BA,CBaya.C,0.171337233738584
CBaya,C,BA,CBaya.C,0.183163260962156
CBaya,C,BA,CBaya.C,0.197695158438956
CBaya,C,BA,CBaya.C,0.224960600878517
CBaya,C,BA,CBaya.C,0.22794824529275
CBaya,C,BA,CBaya.C,0.223289263610691
CBaya,C,BA,CBaya.C,0.220968499756594
CBaya,C,BA,CBaya.C,0.207429546059117
CBaya,C,BA,CBaya.C,0.191364229550265
CBaya,C,BA,CBaya.C,0.231916215059094
CBaya,C,BA,CBaya.C,0.216726164930819
CBaya,C,BA,CBaya.C,0.204849900226652
CBaya,C,BA,CBaya.C,0.191138635867727
CBaya,C,BA,CBaya.C,0.156924864287032
CBaya,C,BA,CBaya.C,0.200011264732694
CBaya,C,BA,CBaya.C,0.130970941099116
CBaya,C,BA,CBaya.C,0.16482419781277
CBaya,C,BA,CBaya.C,0.194353659533944
CBaya,C,BA,CBaya.C,0.167455497462852
CBaya,C,BA,CBaya.C,0.182654599237245
CBaya,C,BA,CBaya.C,0.185073786261769
CBaya,C,BA,CBaya.C,0.143487520216567
CBaya,C,BA,CBaya.C,0.175846901795451
CBaya,C,BA,CBaya.C,0.181726023721831
CBaya,C,BA,CBaya.C,0.141556493654775
CBaya,C,BA,CBaya.C,0.18400330795947
