"","Prefix","CHL_Components","Traits","Models","Predictive_Ability"
"307","PCSprout","H","PCSprout.H","GBLUP",0.198
"308","PCSprout","H","PCSprout.H","GBLUP",0.29
"309","PCSprout","H","PCSprout.H","GBLUP",0.38
"310","PCSprout","H","PCSprout.H","GBLUP",0.371
"311","PCSprout","H","PCSprout.H","GBLUP",0.403
"312","PCSprout","H","PCSprout.H","GBLUP",0.36
"313","PCSprout","H","PCSprout.H","GBLUP",0.146
"314","PCSprout","H","PCSprout.H","GBLUP",0.065
"315","PCSprout","H","PCSprout.H","GBLUP",0.245
"316","PCSprout","H","PCSprout.H","GBLUP",0.25
"317","PCSprout","H","PCSprout.H","GBLUP",0.04
"318","PCSprout","H","PCSprout.H","GBLUP",0.316
"319","PCSprout","H","PCSprout.H","GBLUP",0.384
"320","PCSprout","H","PCSprout.H","GBLUP",0.391
"321","PCSprout","H","PCSprout.H","GBLUP",0.429
"322","PCSprout","H","PCSprout.H","GBLUP",0.368
"323","PCSprout","H","PCSprout.H","GBLUP",0.073
"324","PCSprout","H","PCSprout.H","GBLUP",0.407
"325","PCSprout","H","PCSprout.H","GBLUP",0.135
"326","PCSprout","H","PCSprout.H","RKHS",0.406
"327","PCSprout","H","PCSprout.H","RKHS",0.398
"328","PCSprout","H","PCSprout.H","RKHS",0.476
"329","PCSprout","H","PCSprout.H","RKHS",0.31
"330","PCSprout","H","PCSprout.H","RKHS",0.317
"331","PCSprout","H","PCSprout.H","RKHS",0.386
"332","PCSprout","H","PCSprout.H","RKHS",0.429
"333","PCSprout","H","PCSprout.H","RKHS",0.379
"334","PCSprout","H","PCSprout.H","RKHS",0.398
"335","PCSprout","H","PCSprout.H","RKHS",0.156
"336","PCSprout","H","PCSprout.H","RKHS",0.401
"337","PCSprout","H","PCSprout.H","RKHS",0.159
"338","PCSprout","H","PCSprout.H","RKHS",0.362
"339","PCSprout","H","PCSprout.H","RKHS",0.533
"340","PCSprout","H","PCSprout.H","RKHS",0.346
"341","PCSprout","H","PCSprout.H","RKHS",0.467
"342","PCSprout","H","PCSprout.H","RKHS",0.132
"343","PCSprout","H","PCSprout.H","RKHS",0.336
"344","PCSprout","H","PCSprout.H","RKHS",0.419
"345","PCSprout","H","PCSprout.H","RKHS",0.385
"346","PCSprout","H","PCSprout.H","RKHS",0.257
"347","PCSprout","H","PCSprout.H","RKHS",0.368
"348","PCSprout","H","PCSprout.H","RKHS",0.286
"349","PCSprout","H","PCSprout.H","RKHS",0.488
"350","PCSprout","H","PCSprout.H","RKHS",0.36
"351","PCSprout","L","PCSprout.L","BA",0.55
"352","PCSprout","L","PCSprout.L","BA",0.333
"353","PCSprout","L","PCSprout.L","BA",0.501
"354","PCSprout","L","PCSprout.L","BA",0.399
"355","PCSprout","L","PCSprout.L","BA",0.481
"356","PCSprout","L","PCSprout.L","BA",0.514
"357","PCSprout","L","PCSprout.L","BA",0.368
"358","PCSprout","L","PCSprout.L","BA",0.517
"359","PCSprout","L","PCSprout.L","BA",0.343
"360","PCSprout","L","PCSprout.L","BA",0.386
"361","PCSprout","L","PCSprout.L","BA",0.391
"362","PCSprout","L","PCSprout.L","BA",0.203
"363","PCSprout","L","PCSprout.L","BA",0.493
"364","PCSprout","L","PCSprout.L","BA",0.55
"365","PCSprout","L","PCSprout.L","BA",0.483
"366","PCSprout","L","PCSprout.L","BA",0.429
"367","PCSprout","L","PCSprout.L","BA",0.39
