SAMPLES,Baya.LCH.C,Baya.LCH.C.GEBV,Baya.LCH.H,Baya.LCH.H.GEBV,Baya.LCH.L,Baya.LCH.L.GEBV,PriBrote.LCH.C,PriBrote.LCH.C.GEBV,PriBrote.LCH.H,PriBrote.LCH.H.GEBV,PriBrote.LCH.L,PriBrote.LCH.L.GEBV,PriFlor.LCH.C,PriFlor.LCH.C.GEBV,PriFlor.LCH.H,PriFlor.LCH.H.GEBV,PriFlor.LCH.L,PriFlor.LCH.L.GEBV,PriTuber.LCH.C,PriTuber.LCH.C.GEBV,PriTuber.LCH.H,PriTuber.LCH.H.GEBV,PriTuber.LCH.L,PriTuber.LCH.L.GEBV,Pulpa.LCH.C,Pulpa.LCH.C.GEBV,Pulpa.LCH.H,Pulpa.LCH.H.GEBV,Pulpa.LCH.L,Pulpa.LCH.L.GEBV,SecBrote.LCH.C,SecBrote.LCH.C.GEBV,SecBrote.LCH.H,SecBrote.LCH.H.GEBV,SecBrote.LCH.L,SecBrote.LCH.L.GEBV,SecTuber.LCH.C,SecTuber.LCH.C.GEBV,SecTuber.LCH.H,SecTuber.LCH.H.GEBV,SecTuber.LCH.L,SecTuber.LCH.L.GEBV,Tallo.LCH.C,Tallo.LCH.C.GEBV,Tallo.LCH.H,Tallo.LCH.H.GEBV,Tallo.LCH.L,Tallo.LCH.L.GEBV
15061318,47.023,44,117.324,117,57.602,54,23.47725,20,300.604,307,31.987,26,48.55,55,325.154,329,46.259,36,38.687,11,112.562,328,45.236,30,16.294,6,88.836,71,87.957,92,7.277,4,209.067,41,92.858,94,34.19,41,156.867,41,65.185,82,33.285,44,167.67,117,46.35645,54
15061361,44.433,44,117.535,117,57.398,54,24.80914,20,307.046,307,29.392,26,49.059,58,320.842,322,44.815,43,27.163,28,76.339,21,33.553,34,17.405,18,86.487,90,85.377,84,4.298,7,179.484,318,94.445,96,37.203,41,130.693,90,73.366,75,35.52,44,163.608,117,48.54787,54
15061515,44.133,32,118.311,112,57.536,58,25.06107,26,306.849,314,33.371,33,10.06,6,84.174,71,87.823,92,29.377,29,128.957,17,54.848,35,19.813,18,84.467,90,85.519,84,5.598,7,197.878,318,94.324,96,34.586,31,93.651,53,72.857,73,39.059,19,141.848,134,50.96179,45
15062123,46.973,44,115.944,117,61.721,54,33.09071,20,313.66,307,34.538,26,53.482,45,321.531,310,46.258,58,35.16,35,89.549,83,66.508,75,17.62,6,78.118,71,84.799,92,6.461,4,262.402,41,96.189,94,34.424,37,51.692,18,60.621,42,45.442,44,105.948,117,58.40602,54
15061358,46.973,38,116.474,132,60.563,53,30.80638,28,310.636,306,33.732,27,45.186,40,311.283,314,55.121,48,32.104,41,101.391,86,51.186,80,19.399,18,91.915,90,84.27,84,4.829,7,228.666,318,95.829,96,35.258,36,100.665,346,61.738,42,38.397,44,140.644,117,48.95454,54
15061428,46.973,48,114.501,118,62.288,66,52.42053,58,332.261,336,45.463,48,51.634,49,322.644,320,46.475,54,34.129,32,50.326,14,47.531,38,20.386,18,90.856,90,84.804,84,6.094,4,182.383,41,96.135,94,38.118,42,72.952,96,69.99,80,43.178,44,132.605,117,51.91834,54
15061496,44.133,44,117.37,117,59.157,54,30.08111,26,312.994,314,29.83,33,51.004,58,317.187,312,42.725,33,27.957,28,107.339,22,41.847,39,15.662,6,85.589,71,86.412,92,6.009,7,237.992,318,95.598,96,36.67,41,79.455,86,72.414,80,27.816,16,231.327,359,40.60953,28
15061648,46.973,48,116.428,118,60.661,66,38.64108,20,318.182,307,38.281,26,50.362,58,324.013,322,47.311,43,23.344,11,76.227,318,36.059,28,22.035,18,96.284,90,83.808,84,9.257,7,288.769,318,89.831,96,33.678,37,69.669,74,69.59,74,38.986,38,135.508,132,48.75594,53
15061808,36.596,48,116.028,118,54.336,66,38.16614,47,320.077,352,41.103,36,44.355,46,310.139,323,54.584,57,35.366,32,100.287,84,55.421,81,9.749,10,79.558,96,87.793,88,8.295,4,173.75,41,91.89,94,33.697,29,41.994,17,56.557,50,39.965,44,140.752,117,47.36034,54
15061600,45.319,44,120.041,117,58.958,54,29.41212,43,328.477,319,42.357,61,49.966,40,323.356,326,49.737,63,26.851,29,70.683,17,41.484,35,10.841,18,82.841,90,89.347,84,4.742,7,191.542,318,98.868,96,39.199,32,84.242,84,74.21,81,40.35,44,120.224,117,50.08203,54
