SAMPLES,Baya.LCH.C,Baya.LCH.C.GEBV,Baya.LCH.H,Baya.LCH.H.GEBV,Baya.LCH.L,Baya.LCH.L.GEBV,PriBrote.LCH.C,PriBrote.LCH.C.GEBV,PriBrote.LCH.H,PriBrote.LCH.H.GEBV,PriBrote.LCH.L,PriBrote.LCH.L.GEBV,PriFlor.LCH.C,PriFlor.LCH.C.GEBV,PriFlor.LCH.H,PriFlor.LCH.H.GEBV,PriFlor.LCH.L,PriFlor.LCH.L.GEBV,PriTuber.LCH.C,PriTuber.LCH.C.GEBV,PriTuber.LCH.H,PriTuber.LCH.H.GEBV,PriTuber.LCH.L,PriTuber.LCH.L.GEBV,Pulpa.LCH.C,Pulpa.LCH.C.GEBV,Pulpa.LCH.H,Pulpa.LCH.H.GEBV,Pulpa.LCH.L,Pulpa.LCH.L.GEBV,SecBrote.LCH.C,SecBrote.LCH.C.GEBV,SecBrote.LCH.L,SecBrote.LCH.L.GEBV,SecTuber.LCH.C,SecTuber.LCH.C.GEBV,SecTuber.LCH.H,SecTuber.LCH.H.GEBV,SecTuber.LCH.L,SecTuber.LCH.L.GEBV,Tallo.LCH.C,Tallo.LCH.C.GEBV,Tallo.LCH.H,Tallo.LCH.H.GEBV,Tallo.LCH.L,Tallo.LCH.L.GEBV
15061631,41.944,48,117.621,118,57.114,66,23.477,28,317.423,306,29.681,27,40.895,58,318.348,322,49.521,43,20.487,11,251.036,318,43.178,28,28.238,6,107.475,71,83.305,92,5.89,4,96.817,94,36.373,47,100.882,85,76.66896,76,29.20225,16,243.863,359,39.73,28
15060964,40.727,38,115.571,132,54.667,53,34.92,40,317.423,309,32.099,43,53.085,39,321.564,321,49.145,36,20.121,16,181.87,359,41.515,28,16.367,32,78.4,84,87.477,81,8.421,7,92.651,96,34.284,47,129.532,85,71.78648,76,38.53314,44,107.541,117,53.337,54
15061778,45.534,44,118.914,117,59.904,54,33.892,58,307.032,322,42.022,43,51.914,58,323.884,322,47.575,43,20.43,11,176.437,318,40.136,28,15.572,42,86.163,96,86.643,80,13.147,7,86.279,96,34.89,41,84.772,86,69.7592,80,29.26324,16,247.057,359,39.697,28
15061718,40.92,44,117.428,128,57.502,54,30.786,26,317.423,307,31.38,33,50.128,40,321.562,305,45.311,59,23.326,11,178.362,318,38.544,28,12.275,6,81.019,71,86.904,92,6.946,7,96.83,96,36.373,36,126.093,83,79.79268,79,33.46481,21,149.98,132,40.956,49
15061486,51.061,44,116.952,117,59.117,54,28.928,26,317.423,314,29.34,33,46.234,45,325.039,310,40.404,58,26.012,8,213.154,313,50.043,29,8.533,6,78.866,88,90.358,92,6.358,7,97.451,96,31.557,35,187.176,86,53.14613,80,33.54767,44,195.091,117,45.418,54
15060214,46.686,44,117.231,117,59.863,54,32.302,53,320.014,315,47.681,62,33.726,39,275.571,321,58.027,36,34.194,47,47.493,85,56.905,76,20.205,6,91.491,71,88.699,92,5.673,7,96.335,95,34.958,37,78.812,12,57.39712,41,49.68155,44,95.438,117,54.358,54
15061333,45.048,44,118.312,117,57.461,54,27.289,28,307.032,306,30.371,27,38.198,45,297.515,305,46.574,52,24.688,8,179.208,313,52.093,29,15.559,18,87.001,90,85.905,84,5.276,7,94.08,96,33.509,36,135.799,96,66.40474,30,29.07465,44,206.585,117,41.894,54
15061962,44.538,44,116.055,117,58.451,54,38.951,55,320.482,328,52.105,52,46.89,49,319.125,320,56.972,54,30.005,35,53.754,83,53.302,75,13.264,6,80.82,71,89.241,92,6.513,4,90.993,94,35.879,29,64.94,17,65.73949,50,50.61824,44,111.772,117,54.718,54
15061624,45.996,44,115.977,117,60.491,54,26.491,55,307.032,329,31.99,36,50.02,40,319.709,308,45.576,38,20.225,39,152.17,17,36.2,43,7.365,6,68.528,71,90.658,92,5.276,4,92.815,94,36.378,42,90.237,96,77.30393,80,20.85726,44,305.545,117,33.469,54
15061282,43.516,32,116.538,112,58.196,58,36.081,28,319.001,306,40.924,27,48.431,58,319.182,322,46.347,43,30.62,26,161.086,342,45.014,50,9.075,6,70.297,71,89.782,92,5.76,7,96.472,96,33.492,6,116.888,71,67.52975,92,42.40526,44,110.654,117,54.336,54
15061529,47.198,48,115.558,118,59.863,66,27.395,26,309.966,314,30.476,33,22.55,6,118.67,71,79.022,92,29.462,11,177.556,328,41.581,30,17.149,18,93.67,90,85.613,84,6.885,7,94.975,96,35.843,39,106.254,86,62.4949,80,35.21778,44,137.402,117,50.47,54
15061935,44.538,59,116.055,106,58.451,69,38.951,57,315.854,347,52.105,54,46.89,55,319.125,329,56.972,36,30.005,37,53.754,18,53.302,42,13.264,6,80.82,71,89.241,92,6.696,4,90.993,94,35.879,41,64.94,86,65.94245,80,51.20688,44,111.772,117,54.718,54
15061568,44.286,44,116.996,117,59.19,54,47.638,49,323.219,320,39.704,54,51.848,58,325.264,322,43.505,43,28.165,42,100.31,96,35.563,80,8.765,18,73.745,90,87.966,84,6.064,4,92.829,94,34.689,37,105.07,18,75.64791,42,46.83388,44,119.094,117,56.101,54
15061491,45.534,59,118.914,106,59.904,69,33.892,58,307.032,336,42.022,48,51.914,58,323.884,322,47.575,43,20.43,11,176.437,328,40.136,30,15.572,18,86.163,90,86.643,84,13.147,7,86.279,95,34.89,41,84.772,86,69.75839,80,28.71766,16,247.057,359,39.697,28
15061318,48.863,44,117.298,117,57.841,54,22.882,20,307.032,307,32.593,26,44.025,55,310.567,329,45.663,36,36.223,11,107.092,328,46.721,30,15.79,6,83.264,71,89.001,92,6.064,4,95.042,94,35.953,41,177.513,41,65.07628,82,38.12459,44,150.012,117,51.747,54
