"Registro","CTallo","CPFlor","CBaya","CPTuber","CSTuber","CPulpa","CSPulpa","CPBrote","CSBrote"
"15061317","144A","155A","144B","183D","161A","160C",NA,"N92D","NN155A"
"15061318","144A","N81A","144A","N187A",NA,"155A",NA,"N92C","NN155A"
"15061319","144A","90C","145A","180A","164B","155A",NA,"N92C","NN155B"
"15061320","144A","N82A","145A","162B","184A","160D",NA,"N78A","NN155A"
"15061321","N77A","N82B","144A","186B",NA,"160D",NA,"N92C","NN155C"
"15061323","144A","N82A","144A","164C","N77B","155A",NA,"N92D","NN155D"
"15061324","144A",NA,"144A","183C","162A","160C",NA,"N92C",NA
"15061327","144A","N80C","144A","184B","160A","155A",NA,"N92C","NN155D"
"15061329","N77A","83B","144A","N186B","160A","160B","83B","N92B","NN155A"
"15061330","144A","N82A","143C","184A",NA,"160C",NA,"N78A","NN155A"
"15061331","144A","84A","144A","166D","181B","155A",NA,"86A","NN155D"
"15061333","144A","92A","144A","N186A",NA,"160D","86B","N92B","NN155D"
"15061334","144A","N81B","144B","183C","162A","160C",NA,"N82B","NN155D"
"15061335","144A","83B","144B","161A","N77B","160D",NA,"N92B","NN155D"
"15061336","144A","N82A","144A","79A","160A","160D",NA,"N92C","NN155A"
"15061337","144A","N87B","144A","N79B",NA,"160D",NA,"N92D",NA
"15061338","N77A","N82B","144B","N186A","161A","155A","79A","N92C","NN155D"
"15061340","N77A","N82B","144A","182A","161A","160D",NA,"N92B","NN155D"
"15061342","144A","83C","N144A","183B","160A","160D",NA,"N92B","NN155D"
"15061344","144A","N82B","144C","N77B",NA,"160D",NA,"N92B","NN155D"
"15061345","144A","N81A","N144A","181A","161A","160D",NA,"N78A","NN155A"
"15061945","144A","N82A","144B","161A","178B","160D",NA,"N78B","NN155D"
"15061346","144A","N82C","144A","183C","162C","160C",NA,"N78B","NN155A"
"15061347","144A","83C","144A","N77B","160A","160D",NA,"N92C","NN155D"
"15061348","144A","N82A","143B","187B",NA,"160D",NA,"N92C","NN155D"
"15061349","144A","N82C","143B","162C","79D","160D",NA,"N92D","NN155D"
"15061350","144A","N80C","143B","181A","161A","160B",NA,"N78B","NN155A"
"15061352","144A","N81A","144B","162A","N77B","160C",NA,"NN155A","N82A"
"15061353","144A","N81A","144A","183B",NA,"155A",NA,"N92B","NN155D"
"15061946","N77A","86C","144A","N79A","161B","155A",NA,"N92C","NN155D"
"15062091","144A","N87B","144A","187A","160A","160D",NA,"N92C",NA
"15061355","N77A","N81A","144A","187A","162B","160D",NA,"N92C","NN155A"
"15062092","144A","86C","143A","183B","N186B","155A",NA,"N92B","NN155A"
"15061356","144A","N82C","144A","166D","N77D","157C",NA,"N82B","NN155D"
"15061357","N77A","N82A","144A","N186A","161A","160D","N79D","N92C","NN155A"
"15061358","144A","86C","143A","162B","N77B","160D",NA,"N92B","NN155D"
"15061359","144A","N88B","143A","183C","160A","160C",NA,"N92C","NN155C"
"15061360","144A","N81A","144A","79A","184b","160D",NA,"N92C","NN155A"
"15061361","144A","N82A","144A","183A",NA,"160D",NA,"N92C","NN155D"
"15062094","200A","N87A","N144A","N186A","162B","155C","N79D","N92D","NN155D"
"15061364","144A","N82A","N144B","187B","162B","160D",NA,"N92D","NN155B"
"15061365","144A","N82C","144A","183C","161A","160D",NA,"83C","NN155D"
"15061367","144A","N82B",NA,"183B","161A","155A",NA,"83C","NN155A"
"15061948","144A","N82C","144A","168A","161A","160D",NA,"N81C","NN155D"
"15061368","144A","92A","N144A","177C","N77A","160C",NA,"N92C","NN155D"
"15062347","144A","92A","N144A","N77A","164C","160D",NA,"N92C","NN155A"
"15061369","144A","92A","144B","N77C","174C","155A",NA,"N92C","NN155D"
"15062097","144A","N82A","144A","176A","162B","160D",NA,"N92C","NN155D"
"15061370","144A","N81A","144A","184B","162B","160D",NA,"N78B","NN155D"
"15062348","144A","N82B","144A","183B","162A","160C",NA,"84A","NN155A"
"15062349","144A","83C","143A","N186B","162A","160D",NA,"N92B","NN155D"
"15062350","144A","N82B","144A","N186C","161A","160C",NA,"90A","NN155D"
"15061949","144A","86B","144A","N186A","162A","155A",NA,"N92C","NN155A"
"15062351","N77A","86B","N144A","N79A","161A","160D",NA,"N92C","NN155D"
"15062098","144A","N82B","144B","178A","162A","160D",NA,"N78B","NN155A"
"15061376","144A","N81A","144A","183C","161A","160C",NA,"N78B","NN155D"
"15061377","144A","92A","144A","162A","181A","160C",NA,"N78B","NN155A"
"15061378","144A","N87B","144A","162A","N77D","160D",NA,"90B","NN155D"
"15061380","N77A","N82A","144A","181A","162A","160D",NA,"N92C",NA
"15061382","144A","N88A","146B","N77D",NA,"155A",NA,"N88C","NN155D"
"15061383","N77A","N87B","146B","183B",NA,"160D",NA,"N92C","NN155D"
