Prefix,HCL_component,Traits,Models,Predictive_ability
CBaya,H,CBaya.H,RR,0.037
CBaya,H,CBaya.H,RR,NA
CBaya,H,CBaya.H,RR,0.06
CBaya,H,CBaya.H,RR,NA
CBaya,H,CBaya.H,RR,0.043
CBaya,H,CBaya.H,RR,-0.213
CBaya,H,CBaya.H,RR,-0.132
CBaya,H,CBaya.H,RR,NA
CBaya,H,CBaya.H,RR,-0.138
CBaya,H,CBaya.H,RR,NA
CBaya,H,CBaya.H,RR,NA
CBaya,H,CBaya.H,RR,0.163
CBaya,H,CBaya.H,RR,NA
CBaya,H,CBaya.H,RR,0.234
CBaya,H,CBaya.H,RR,-0.24
CBaya,H,CBaya.H,RR,-0.188
CBaya,H,CBaya.H,RR,NA
CBaya,H,CBaya.H,RR,NA
CBaya,H,CBaya.H,RR,0.03
CBaya,H,CBaya.H,RR,NA
CBaya,H,CBaya.H,RR,0.074
CBaya,H,CBaya.H,RR,-0.094
CBaya,H,CBaya.H,RR,NA
CBaya,H,CBaya.H,RR,0.012
CBaya,H,CBaya.H,RR,0.231
CBaya,H,CBaya.H,SVM,0.041
CBaya,H,CBaya.H,SVM,0.157
CBaya,H,CBaya.H,SVM,0.101
CBaya,H,CBaya.H,SVM,0.254
CBaya,H,CBaya.H,SVM,-0.082
CBaya,H,CBaya.H,SVM,0.162
CBaya,H,CBaya.H,SVM,0.159
CBaya,H,CBaya.H,SVM,0.177
CBaya,H,CBaya.H,SVM,0.064
CBaya,H,CBaya.H,SVM,0.144
CBaya,H,CBaya.H,SVM,0.072
CBaya,H,CBaya.H,SVM,0.225
CBaya,H,CBaya.H,SVM,0.121
CBaya,H,CBaya.H,SVM,0.059
CBaya,H,CBaya.H,SVM,0.03
CBaya,H,CBaya.H,SVM,0.192
CBaya,H,CBaya.H,SVM,0.028
CBaya,H,CBaya.H,SVM,0.254
CBaya,H,CBaya.H,SVM,0.025
CBaya,H,CBaya.H,SVM,0.193
CBaya,H,CBaya.H,SVM,0.131
CBaya,H,CBaya.H,SVM,0.194
CBaya,H,CBaya.H,SVM,0.006
CBaya,H,CBaya.H,SVM,0.024
CBaya,H,CBaya.H,SVM,0.216
CBaya,H,CBaya.H,RF,0.009
CBaya,H,CBaya.H,RF,-0.084
CBaya,H,CBaya.H,RF,0.153
CBaya,H,CBaya.H,RF,0.13
CBaya,H,CBaya.H,RF,0.203
CBaya,H,CBaya.H,RF,0.287
CBaya,H,CBaya.H,RF,0.217
CBaya,H,CBaya.H,RF,-0.13
