,BA,BB
15061565,38.177,37.364
15061566,30.222,30.5
15061568,36.995,37.673
15061571,36.171,36.705
15061575,33.933,33.548
15061576,35.151,35.407
15061577,35.411,35.712
15061578,35.374,35.645
15061579,32.107,32.597
15061580,34.554,34.487
15061583,32.746,33.017
15061584,33.487,33.091
15061585,35.256,35.476
15061586,35.19,35.415
15061588,36.131,36.261
15061600,36.769,36.928
15061602,36.609,36.492
15061603,30.259,30.51
15061604,38.679,37.985
15061605,33.845,34.06
15061608,35.059,35.359
15061609,30.279,30.502
15061610,34.576,34.509
15061612,33.702,33.789
15061613,32.735,33.005
15061619,33.305,33.196
15061621,33.135,33.275
15061622,36.286,36.068
15061623,36.968,36.797
15061624,30.576,30.699
15061628,30.527,31.095
15061631,29.576,30.037
15061632,32.846,33.056
15061637,36.933,36.789
15061638,37.049,36.878
15061639,33.319,33.861
15061640,38.41,37.707
15061642,36.86,36.765
15061645,38.206,37.382
15061646,30.943,31.682
15061647,37.027,36.832
15061648,37.079,36.464
15061649,38.912,38.173
15061650,38.395,37.76
15061651,33.754,33.335
15061653,37.09,36.855
15061654,32.887,33.085
15061655,38.657,37.655
15061658,33.394,33.509
15061659,35.286,35.521
15061661,32.751,33.02
15061662,34.485,34.47
15061665,41.634,40.687
15061668,41.539,40.69
15061670,33.396,33.915
15061671,37.076,36.475
15061673,33.386,33.098
15061677,33.464,33.279
15061678,33.324,33.18
15061679,33.735,33.932
15061680,33.236,33.827
15061682,37.076,36.886
15061683,34.578,34.567
15061684,40.321,39.858
15061686,34.554,34.507
15061687,35.932,34.839
15061688,34.559,34.51
15061689,33.356,33.207
15061704,37.018,36.819
15061706,33.818,34.024
15061709,38.492,37.489
15061712,34.563,34.532
15061713,37.017,36.825
15061714,38.527,38.219
15061717,37.829,37.059
15061718,34.636,34.553
15061720,38.585,38.487
15061723,33.258,33.358
15061724,34.072,33.953
15061725,38.647,38.317
15061726,37.568,37.42
15061729,35.478,35.327
15061730,35.567,35.375
15061733,33.254,33.159
15061734,33.378,33.218
15061735,38.576,38.272
15061736,35.551,35.36
15061737,35.431,35.29
15061738,33.269,33.185
15061740,34.122,34.165
15061742,37.622,37.284
15061744,37.832,37.633
15061747,30.967,31.687
15061751,35.196,35.454
15061752,34.061,34.17
15061753,33.429,33.24
15061754,39.798,39.066
15061755,30.992,31.089
15061756,31.068,31.11
15061757,33.745,33.93
15061758,35.689,35.285
15061759,34.999,34.896
15061760,35.473,35.336
15061762,32.56,32.851
15061765,30.516,31.068
15061766,37.751,37.304
15061767,35.326,35.308
15061769,36.615,37.368
15061771,33.088,33.114
15061772,35.442,35.358
15061773,32.79,34.123
15061777,33.692,33.961
15061778,33.267,33.173
15061784,33.269,33.166
15061785,37.111,36.548
15061788,34.234,34.575
15061790,33.574,33.839
15061795,29.668,30.094
15061797,33.289,33.19
15061798,37.01,36.548
15061800,32.814,33.967
15061801,37.836,36.872
15061808,37.971,37.405
15061811,36.935,36.799
15061813,36.157,36.172
15061815,33.028,33.196
15061826,37.163,36.755
15061905,35.641,35.997
15061906,33.159,33.244
15061908,33.726,33.774
15061909,30.627,31.863
15061910,32.729,33.027
15061911,39.21,39.358
