SAMPLES,Baya.LCH.C,Baya.LCH.C.GEBV,Baya.LCH.H,Baya.LCH.H.GEBV,Baya.LCH.L,Baya.LCH.L.GEBV,PriBrote.LCH.C,PriBrote.LCH.C.GEBV,PriBrote.LCH.L,PriBrote.LCH.L.GEBV,SecTuber.LCH.C,SecTuber.LCH.C.GEBV,Tallo.LCH.L,Tallo.LCH.L.GEBV
15061299,43.703,44,117.156,117,57.4454,54,36.44,40,37.493,43,33.49152,26,49.901,54
15061578,43.703,44,118.674,117,59.37271,54,30.42,55,33.88,36,36.086,36,45.058,28
15061476,46.863,50,116.333,115,59.185,71,37.218,26,37.422,33,36.09271,42,43.334,28
15061765,46.863,48,116.333,118,59.66813,66,28.375,20,33.88,26,36.08046,42,45.365,54
15062111,43.703,38,116.575,132,59.75284,53,48.3,20,42.445,26,33.51271,36,45.365,28
15061397,46.863,38,116.333,132,59.53843,53,29.622,42,37.28,58,36.07899,37,42.496,54
15061713,46.863,28,116.333,115,62.045,50,34.044,20,38.444,26,33.50815,22,49.901,54
15061584,40.652,48,119.497,118,56.96846,66,32.329,57,39.767,45,36.07217,41,45.365,54
15061912,40.635,44,118.674,117,57.98319,54,42.341,53,38.848,44,33.4948,25,49.901,54
15061260,46.863,45,116.333,128,61.95091,58,34.044,20,38.444,26,33.50243,35,49.901,54
15062099,43.703,44,116.333,117,57.16603,54,30.556,40,31.913,38,36.07633,24,49.901,54
15061350,43.703,45,117.058,128,58.93112,58,37.218,58,44.424,48,33.50888,35,49.901,54
15060933,46.846,48,115.51,118,60.79611,66,32.899,59,37.422,47,33.49209,32,45.058,54
15061548,46.863,44,115.51,117,61.22731,54,29.73,57,32.054,45,33.50428,42,49.901,54
15061348,43.703,45,116.333,128,56.76678,58,24.847,20,30.824,26,36.08219,37,45.365,54
15061560,43.812,48,116.333,118,57.09147,66,34.13,26,39.767,33,36.0875,32,45.058,54
15061544,46.863,28,116.333,115,59.54473,50,24.847,26,33.247,33,36.09147,47,42.496,28
15061449,40.652,48,117.398,117,56.80947,66,30.42,20,32.054,26,36.08358,42,49.901,54
15062348,46.863,44,115.51,117,61.8924,54,50.819,43,45.115,53,36.08932,47,49.901,54
15061916,43.703,32,116.333,112,56.81223,58,24.847,20,30.824,26,36.08601,35,45.365,54
15062138,46.863,59,116.333,106,59.48357,69,29.622,28,37.28,27,36.08506,35,42.496,28
15061946,43.812,44,117.156,117,59.58037,54,27.547,20,30.262,26,36.08693,36,49.901,28
15061676,43.703,45,116.333,128,56.71484,58,24.847,26,30.824,33,36.08448,36,45.365,54
15060536,46.846,44,116.333,117,62.112,54,35.298,59,34.988,47,33.50021,36,45.365,54
15061391,46.863,44,118.674,117,59.32685,54,37.218,4,42.445,94,36.07269,41,42.496,28
15061662,40.652,38,117.398,115,56.92636,50,30.42,26,32.054,33,36.07558,42,49.901,28
15061228,43.703,45,116.575,128,57.69303,58,30.858,20,32.384,26,36.07341,35,45.365,28
15061356,43.812,44,118.433,117,58.48331,54,32.816,49,34.348,54,36.08445,26,45.365,54
15061963,46.863,45,118.674,128,59.33619,58,37.218,38,42.445,43,36.0944,41,42.496,54
15061338,46.863,48,116.333,118,59.65367,66,29.622,20,37.28,26,36.08125,35,42.496,28
15062331,43.812,8,118.433,70,58.47682,77,32.816,58,34.348,43,36.07741,37,45.365,54
15062098,46.863,48,115.51,118,61.73291,66,50.819,58,45.115,48,36.09017,47,49.901,54
15062114,43.703,50,115.51,115,58.08053,71,30.435,39,33.88,54,33.50988,8,45.058,28
15062046,40.635,44,118.674,117,58.03113,54,42.341,53,38.848,44,33.5071,41,49.901,54
15062370,43.703,44,118.674,117,59.21227,54,30.42,20,33.88,26,36.0822,35,45.058,54
15061685,46.863,50,119.256,115,61.86387,71,27.974,28,30.824,27,33.50339,40,42.496,49
15061540,46.863,45,116.333,115,61.78619,72,31.911,20,33.88,26,33.49614,32,49.901,54
15061721,43.703,59,117.979,106,58.98953,69,43.016,43,43.99,37,33.50448,41,49.901,54
15062074,43.703,44,121.356,117,57.60007,54,24.563,20,30.824,26,33.50165,26,49.901,54
15062362,43.703,44,116.333,117,56.75049,54,24.847,40,30.824,43,36.08071,31,45.365,54
15061689,46.863,59,118.674,106,59.21654,69,37.218,47,42.445,36,36.07534,36,42.496,54
15061357,43.703,44,118.674,117,59.28557,54,30.42,20,33.88,26,36.08334,35,45.058,28
15061376,46.863,44,115.51,117,61.94028,54,50.819,58,45.115,48,36.09217,35,49.901,54
15061308,46.863,44,118.674,117,59.32516,54,37.218,28,42.445,27,36.09064,47,42.496,54
