Prefix,HCL_component,Traits,Models,Predictive_ability
CPFlor,C,CPFlor.C,Lasso,NA
CPFlor,C,CPFlor.C,Lasso,0.037
CPFlor,C,CPFlor.C,RR,0.135
CPFlor,C,CPFlor.C,RR,0.165
CPFlor,C,CPFlor.C,RR,0.272
CPFlor,C,CPFlor.C,RR,0.239
CPFlor,C,CPFlor.C,SVM,0.16
CPFlor,C,CPFlor.C,SVM,0.121
CPFlor,C,CPFlor.C,SVM,0.06
CPFlor,C,CPFlor.C,SVM,0.088
CPFlor,C,CPFlor.C,RF,0.236
CPFlor,C,CPFlor.C,RF,0.09
CPFlor,C,CPFlor.C,RF,0.169
CPFlor,C,CPFlor.C,RF,0.138
CPFlor,H,CPFlor.H,BA,0.453
CPFlor,H,CPFlor.H,BA,0.402
CPFlor,H,CPFlor.H,BA,0.422
CPFlor,H,CPFlor.H,BA,0.328
CPFlor,H,CPFlor.H,BB,0.359
CPFlor,H,CPFlor.H,BB,0.353
CPFlor,H,CPFlor.H,BB,0.303
CPFlor,H,CPFlor.H,BB,0.418
CPFlor,H,CPFlor.H,BC,0.43
CPFlor,H,CPFlor.H,BC,0.472
CPFlor,H,CPFlor.H,BC,0.42
CPFlor,H,CPFlor.H,BC,0.398
CPFlor,H,CPFlor.H,BL,0.295
CPFlor,H,CPFlor.H,BL,0.352
CPFlor,H,CPFlor.H,BL,0.432
CPFlor,H,CPFlor.H,BL,0.454
CPFlor,H,CPFlor.H,BRR,0.385
CPFlor,H,CPFlor.H,BRR,0.4
CPFlor,H,CPFlor.H,BRR,0.338
CPFlor,H,CPFlor.H,BRR,0.346
CPFlor,H,CPFlor.H,GBLUP,0.418
CPFlor,H,CPFlor.H,GBLUP,0.348
CPFlor,H,CPFlor.H,GBLUP,0.397
CPFlor,H,CPFlor.H,GBLUP,0.446
CPFlor,H,CPFlor.H,EGBLUP,0.399
CPFlor,H,CPFlor.H,EGBLUP,0.42
CPFlor,H,CPFlor.H,EGBLUP,0.291
CPFlor,H,CPFlor.H,EGBLUP,0.365
CPFlor,H,CPFlor.H,RKHS,0.395
CPFlor,H,CPFlor.H,RKHS,0.448
CPFlor,H,CPFlor.H,RKHS,0.428
CPFlor,H,CPFlor.H,RKHS,0.496
CPFlor,H,CPFlor.H,Lasso,0.394
CPFlor,H,CPFlor.H,Lasso,0.369
CPFlor,H,CPFlor.H,Lasso,0.419
CPFlor,H,CPFlor.H,Lasso,0.394
CPFlor,H,CPFlor.H,RR,0.419
CPFlor,H,CPFlor.H,RR,0.346
CPFlor,H,CPFlor.H,RR,0.446
CPFlor,H,CPFlor.H,RR,0.323
CPFlor,H,CPFlor.H,SVM,0.325
CPFlor,H,CPFlor.H,SVM,0.38
CPFlor,H,CPFlor.H,SVM,0.408
CPFlor,H,CPFlor.H,SVM,0.334
CPFlor,H,CPFlor.H,RF,0.379
CPFlor,H,CPFlor.H,RF,0.372
CPFlor,H,CPFlor.H,RF,0.346
CPFlor,H,CPFlor.H,RF,0.229
CPFlor,L,CPFlor.L,BA,0.313
CPFlor,L,CPFlor.L,BA,0.297
CPFlor,L,CPFlor.L,BA,0.339
CPFlor,L,CPFlor.L,BA,0.346
CPFlor,L,CPFlor.L,BB,0.332
CPFlor,L,CPFlor.L,BB,0.308
CPFlor,L,CPFlor.L,BB,0.395
CPFlor,L,CPFlor.L,BB,0.337
CPFlor,L,CPFlor.L,BC,0.392
CPFlor,L,CPFlor.L,BC,0.339
CPFlor,L,CPFlor.L,BC,0.329
CPFlor,L,CPFlor.L,BC,0.349
CPFlor,L,CPFlor.L,BL,0.347
CPFlor,L,CPFlor.L,BL,0.336
CPFlor,L,CPFlor.L,BL,0.285
CPFlor,L,CPFlor.L,BL,0.398
CPFlor,L,CPFlor.L,BRR,0.368
CPFlor,L,CPFlor.L,BRR,0.353
CPFlor,L,CPFlor.L,BRR,0.347
CPFlor,L,CPFlor.L,BRR,0.312
CPFlor,L,CPFlor.L,GBLUP,0.34
CPFlor,L,CPFlor.L,GBLUP,0.419
CPFlor,L,CPFlor.L,GBLUP,0.383
CPFlor,L,CPFlor.L,GBLUP,0.343
CPFlor,L,CPFlor.L,EGBLUP,0.33
CPFlor,L,CPFlor.L,EGBLUP,0.367
CPFlor,L,CPFlor.L,EGBLUP,0.349
CPFlor,L,CPFlor.L,EGBLUP,0.261
CPFlor,L,CPFlor.L,RKHS,0.346
CPFlor,L,CPFlor.L,RKHS,0.372
CPFlor,L,CPFlor.L,RKHS,0.306
CPFlor,L,CPFlor.L,RKHS,0.363
CPFlor,L,CPFlor.L,Lasso,0.304
CPFlor,L,CPFlor.L,Lasso,0.306
CPFlor,L,CPFlor.L,Lasso,0.255
CPFlor,L,CPFlor.L,Lasso,0.32
CPFlor,L,CPFlor.L,RR,0.419
CPFlor,L,CPFlor.L,RR,0.273
CPFlor,L,CPFlor.L,RR,0.35
CPFlor,L,CPFlor.L,RR,0.305
CPFlor,L,CPFlor.L,SVM,0.208
CPFlor,L,CPFlor.L,SVM,0.22
CPFlor,L,CPFlor.L,SVM,0.273
CPFlor,L,CPFlor.L,SVM,0.32
CPFlor,L,CPFlor.L,RF,0.313
CPFlor,L,CPFlor.L,RF,0.28
CPFlor,L,CPFlor.L,RF,0.301
CPFlor,L,CPFlor.L,RF,0.361
CPTuber,C,CPTuber.C,BA,0.431
CPTuber,C,CPTuber.C,BA,0.503
CPTuber,C,CPTuber.C,BA,0.488
CPTuber,C,CPTuber.C,BA,0.478
CPTuber,C,CPTuber.C,BB,0.481
CPTuber,C,CPTuber.C,BB,0.489
CPTuber,C,CPTuber.C,BB,0.558
CPTuber,C,CPTuber.C,BB,0.477
CPTuber,C,CPTuber.C,BC,0.411
CPTuber,C,CPTuber.C,BC,0.442
CPTuber,C,CPTuber.C,BC,0.403
CPTuber,C,CPTuber.C,BC,0.462
CPTuber,C,CPTuber.C,BL,0.39
CPTuber,C,CPTuber.C,BL,0.534
CPTuber,C,CPTuber.C,BL,0.465
CPTuber,C,CPTuber.C,BL,0.49
CPTuber,C,CPTuber.C,BRR,0.501
CPTuber,C,CPTuber.C,BRR,0.436
CPTuber,C,CPTuber.C,BRR,0.446
